BBDD;Variable;Dest;Name;ES;BE;DE;FR;IT;NL;SE;UK;US
Main;;;RecordNo;RecordNo;RecordNo;RecordNo;RecordNo;RecordNo;RecordNo;RecordNo;RecordNo;RecordNo
Main;ID;;caseid;caseid;caseid;caseid;caseid;caseid;caseid;caseid;caseid;caseid
Main;age;;age;age_rc;profile_julesage;profile_julesage;profile_julesage;age_rc;profile_julesage;profile_julesage;profile_julesage;age
Main;gender;;gender;gender;gender;gender;gender;gender;gender;gender;profile_gender;gender
Main;residence_region;;region;Nielsen_Area_ES_MR;GeoPC_Region1_be;nielsenregion;Grouped_Region_2014;region_grouped_IT;GeoPC_Region1_nl;region;profile_GOR;region
Main;income;;income;income_es_rc;UB_income_BE;hinc;income;profile_gross_household_EU;profile_gross_household_EU;household_income;profile_gross_household;profile_gross_household
Main;income_level;;income_level;income_hml_es;income_hml_be;income_hml_de;income_hml_fr;income_hml_it;income_hml_nl;income_hml_se;income_hml_uk;income_hml_us
Main;aided;;aided_cb;aided_cb;aided_cb;aided_cb;aided_cb;aided_cb;aided_cb;aided_cb;aided_cb;aided_cb
Main;current_own;;current_own_cb;current_own_cb;current_own_cb;current_own_cb;current_own_cb;current_own_cb;current_own_cb;current_own_cb;current_own_cb;current_own_cb
Main;ever_own;;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb;ever_own_cb
Main;consider;;consider_cb;consider_cb;consider_cb;consider_cb;consider_cb;consider_cb;consider_cb;consider_cb;consider_cb;consider_cb
Main;inmarket;;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb;inmarket_cb
Respostes_regions;;0;imp_1;imp_1;imp_1;imp_1;imp_1;imp_1;imp_1;imp_1;imp_1;imp_1
Respostes_regions;;1;imp_2;imp_2;imp_2;imp_2;imp_2;imp_2;imp_2;imp_2;imp_2;imp_2
Respostes_regions;;2;imp_3;imp_3;imp_3;imp_3;imp_3;imp_3;imp_3;imp_3;imp_3;imp_3
Respostes_regions;;3;imp_4;imp_4;imp_4;imp_4;imp_4;imp_4;imp_4;imp_4;imp_4;imp_4
Respostes_regions;;4;imp_5;imp_5;imp_5;imp_5;imp_5;imp_5;imp_5;imp_5;imp_5;imp_5
Respostes_regions;;5;imp_6;imp_6;imp_6;imp_6;imp_6;imp_6;imp_6;imp_6;imp_6;imp_6
Respostes_regions;;6;imp_7;imp_7;imp_7;imp_7;imp_7;imp_7;imp_7;imp_7;imp_7;imp_7
Respostes_regions;;7;imp_8;imp_8;imp_8;imp_8;imp_8;imp_8;imp_8;imp_8;imp_8;imp_8
Respostes_regions;;8;imp_9;imp_9;imp_9;imp_9;imp_9;imp_9;imp_9;imp_9;imp_9;imp_9
Respostes_regions;;9;imp_10;imp_10;imp_10;imp_10;imp_10;imp_10;imp_10;imp_10;imp_10;imp_10
Respostes_regions;;10;imp_11;imp_11;imp_11;imp_11;imp_11;imp_11;imp_11;imp_11;imp_11;imp_11
Respostes_regions;;11;imp_12;imp_12;imp_12;imp_12;imp_12;imp_12;imp_12;imp_12;imp_12;imp_12
Respostes_regions;;12;imp_13;imp_13;imp_13;imp_13;imp_13;imp_13;imp_13;imp_13;imp_13;imp_13
Respostes_regions;;13;imp_14;imp_14;imp_14;imp_14;imp_14;imp_14;imp_14;imp_14;imp_14;imp_14
Respostes_regions;;14;imp_15;imp_15;imp_15;imp_15;imp_15;imp_15;imp_15;imp_15;imp_15;imp_15
Respostes_regions;;15;imp_16;imp_16;imp_16;imp_16;imp_16;imp_16;imp_16;imp_16;imp_16;imp_16
Respostes_regions;;16;imp_17;imp_17;imp_17;imp_17;imp_17;imp_17;imp_17;imp_17;imp_17;imp_17
Respostes_regions;;17;imp_18;imp_18;imp_18;imp_18;imp_18;imp_18;imp_18;imp_18;imp_18;imp_18
Respostes_regions;;18;imp_19;imp_19;imp_19;imp_19;imp_19;imp_19;imp_19;imp_19;imp_19;imp_19
Respostes_regions;;19;imp_20;imp_20;imp_20;imp_20;imp_20;imp_20;imp_20;imp_20;imp_20;imp_20
Respostes_regions;;20;imp_21;imp_21;imp_21;imp_21;imp_21;imp_21;imp_21;imp_21;imp_21;imp_21
Respostes_regions;;21;imp_22;imp_22;imp_22;imp_22;imp_22;imp_22;imp_22;imp_22;imp_22;imp_22
Respostes_regions;;22;imp_23;imp_23;imp_23;imp_23;imp_23;imp_23;imp_23;imp_23;imp_23;
Respostes_regions;;23;imp_24;imp_24;imp_24;imp_24;imp_24;imp_24;imp_24;imp_24;imp_24;
Respostes_regions;;0;qual_1;qual_1;qual_1;qual_1;qual_1;qual_1;qual_1;qual_1;qual_1;qual_1
Respostes_regions;;1;qual_2;qual_2;qual_2;qual_2;qual_2;qual_2;qual_2;qual_2;qual_2;qual_2
Respostes_regions;;2;qual_3;qual_3;qual_3;qual_3;qual_3;qual_3;qual_3;qual_3;qual_3;qual_3
Respostes_regions;;3;qual_4;qual_4;qual_4;qual_4;qual_4;qual_4;qual_4;qual_4;qual_4;qual_4
Respostes_regions;;4;qual_5;qual_5;qual_5;qual_5;qual_5;qual_5;qual_5;qual_5;qual_5;qual_5
Respostes_regions;;5;qual_6;qual_6;qual_6;qual_6;qual_6;qual_6;qual_6;qual_6;qual_6;qual_6
Respostes_regions;;6;qual_7;qual_7;qual_7;qual_7;qual_7;qual_7;qual_7;qual_7;qual_7;qual_7
Respostes_regions;;7;qual_8;qual_8;qual_8;qual_8;qual_8;qual_8;qual_8;qual_8;qual_8;qual_8
Respostes_regions;;8;qual_9;qual_9;qual_9;qual_9;qual_9;qual_9;qual_9;qual_9;qual_9;qual_9
Respostes_regions;;9;qual_10;qual_10;qual_10;qual_10;qual_10;qual_10;qual_10;qual_10;qual_10;qual_10
Respostes_regions;;10;qual_11;qual_11;qual_11;qual_11;qual_11;qual_11;qual_11;qual_11;qual_11;qual_11
Respostes_regions;;11;qual_12;qual_12;qual_12;qual_12;qual_12;qual_12;qual_12;qual_12;qual_12;qual_12
Respostes_regions;;12;qual_13;qual_13;qual_13;qual_13;qual_13;qual_13;qual_13;qual_13;qual_13;qual_13
Respostes_regions;;13;qual_14;qual_14;qual_14;qual_14;qual_14;qual_14;qual_14;qual_14;qual_14;qual_14
